start,duration
376,216
592,281
873,102
975,106
1081,88
1169,89
1258,91
1349,89
1438,92
1530,92
1622,93
1715,92
1807,92
1899,93
1992,92
2084,92
2176,92
2268,90
2358,90
2448,91
2539,93
2632,87
2719,94
2813,87
2900,93
2993,93
3086,92
3178,92
3270,93
3363,92
3455,92
3547,93
3640,91
3731,91
3822,90
3912,90
4002,94
4096,87
4183,93
4276,87
4363,94
4457,92
4549,93
4642,92
4734,92
4826,93
4919,91
5010,93
5103,92
5195,90
5285,90
5375,91
5466,93
5559,87
5646,94
5740,87
5827,93
5920,93
6013,92
6105,92
6197,93
6290,92
6382,92
6474,92
6566,92
6658,91
6749,90
6839,90
6929,94
7023,87
7110,93
7203,87
7290,94
7384,92
7476,93
7569,91
7660,93
7753,93
7846,91
7937,93
8030,92
8122,90
8212,90
8302,91
8393,93
8486,87
8573,94
8667,87
8754,93
8847,93
8940,92
9032,92
9124,93
9217,92
9309,92
9401,92
9493,92
9585,91
9676,89
9765,91
9856,94
9950,87
10037,93
10130,87
10217,94
10311,92
10403,93
10496,91
10587,93
10680,93
10773,91
10864,93
10957,91
11048,91
11139,90
11229,91
11320,93
11413,87
11500,94
11594,86
11680,94
11774,93
11867,92
11959,92
12051,92
12143,93
12236,92
12328,92
12420,92
12512,91
12603,89
12692,91
12783,94
12877,86
12963,94
13057,87
13144,93
13237,93
13330,93
13423,91
13514,93
13607,93
13700,91
13791,93
13884,91
13975,91
14066,90
14156,91
14247,93
14340,87
14427,93
14520,87
14607,94
14701,93
14794,92
14886,92
14978,92
15070,93
15163,92
15255,92
15347,92
15439,91
15530,89
15619,91
15710,94
15804,86
15890,94
15984,87
16071,93
16164,93
16257,93
16350,91
16441,93
16534,92
16626,92
16718,93
16811,91
16902,91
16993,90
17083,90
17173,94
17267,87
17354,93
17447,87
17534,94
17628,92
17720,93
17813,92
17905,92
17997,93
18090,92
18182,92
18274,92
18366,90
18456,90
18546,91
18637,93
18730,87
18817,94
18911,87
18998,93
19091,93
19184,92
19276,92
19368,93
19461,92
19553,92
19645,93
19738,91
19829,91
19920,90
20010,90
20100,94
20194,87
20281,93
20374,89
20463,93
20556,93
20649,91
20740,92
20832,92
20924,93
21017,95
21112,91
21203,93
21296,87
21383,94
21477,87
21564,93
21657,89
21746,92
21838,89
21927,92
22019,96
22115,88
22203,92
22295,93
22388,92
22480,94
22574,92
22666,94
22760,87
22847,93
22940,87
23027,94
23121,89
23210,91
23301,89
23390,93
23483,93
23576,91
23667,92
23759,92
23851,93
23944,95
24039,91
24130,93
24223,87
24310,94
24404,87
24491,93
24584,89
24673,92
24765,88
24853,93
24946,96
25042,88
25130,92
25222,93
25315,92
25407,94
25501,92
25593,94
25687,87
25774,93
25867,87
25954,94
26048,88
26136,92
26228,89
26317,93
26410,93
26503,93
26596,93
26689,93
26782,92
26874,92
26966,91
27057,93
27150,89
27239,92
27331,89
27420,92
27512,88
27600,93
27693,91
27784,93
27877,91
27968,91
28059,94
28153,92
28245,93
28338,92
28430,92
28522,93
28615,88
28703,92
28795,88
28883,93
28976,91
29067,89
29156,92
29248,92
29340,92
29432,91
29523,93
29616,93
29709,92
29801,92
29893,93
29986,92
30078,88
30166,93
30259,87
30346,93
30439,92
30531,88
30619,92
30711,93
30804,91
30895,91
30986,94
31080,92
31172,93
31265,91
31356,93
31449,93
31542,87
31629,93
31722,88
31810,92
31902,92
31994,89
32083,92
32175,92
32267,92
32359,91
32450,93
32543,93
32636,92
32728,92
32820,93
32913,92
33005,88
33093,93
33186,87
33273,93
33366,88
33454,92
33546,88
33634,93
33727,95
33822,91
33913,94
34007,92
34099,93
34192,89
34281,93
34374,94
34468,88
34556,92
34648,89
34737,92
34829,88
34917,93
35010,91
35101,93
35194,92
35286,90
35376,94
35470,93
35563,92
35655,92
35747,92
35839,93
35932,88
36020,92
36112,88
36200,93
36293,92
36385,88
36473,92
36565,93
36658,91
36749,93
36842,92
36934,96
37030,91
37121,89
37210,93
37303,92
37395,92
37487,89
37576,92
37668,92
37760,88
37848,93
37941,87
38028,93
38121,92
38213,92
38305,93
38398,93
38491,93
38584,90
38674,92
38766,93
38859,92
38951,88
39039,92
39131,93
39224,87
39311,93
39404,88
39492,92
39584,92
39676,93
39769,92
39861,96
39957,90
40047,90
40137,93
40230,92
40322,92
40414,89
40503,91
40594,93
40687,88
40775,92
40867,92
40959,91
41050,93
41143,89
41232,93
41325,93
41418,93
41511,93
41604,93
41697,93
41790,87
41877,93
41970,88
42058,93
42151,91
42242,89
42331,90
42421,92
42513,94
42607,89
42696,92
42788,96
42884,90
42974,94
43068,93
43161,92
43253,88
43341,93
43434,87
43521,93
43614,90
43704,90
43794,92
43886,91
43977,93
44070,93
44163,92
44255,92
44347,93
44440,91
44531,93
44624,93
44717,91
44808,89
44897,90
44987,92
45079,90
45169,91
45260,89
45349,93
45442,93
45535,91
45626,93
45719,92
45811,92
45903,93
45996,95
46091,91
46182,88
46270,92
46362,90
46452,91
46543,90
46633,90
46723,90
46813,93
46906,92
46998,96
47094,90
47184,94
47278,92
47370,89
47459,94
47553,92
47645,90
47735,91
47826,90
47916,92
48008,88
48096,93
48189,87
48276,93
48369,93
48462,93
48555,93
48648,93
48741,93
48834,89
48923,95
49018,91
49109,90
49199,90
49289,90
49379,93
49472,87
49559,93
49652,88
49740,92
49832,93
49925,96
50021,90
50111,94
50205,92
50297,89
50386,94
50480,92
50572,90
50662,91
50753,89
50842,93
50935,88
51023,92
51115,88
51203,93
51296,93
51389,93
51482,93
51575,93
51668,93
51761,89
51850,95
51945,91
52036,89
52125,91
52216,90
52306,93
52399,87
52486,93
52579,88
52667,96
52763,93
52856,91
52947,91
53038,94
53132,92
53224,93
53317,92
53409,92
53501,92
53593,89
53682,91
53773,93
53866,88
53954,92
54046,88
54134,93
54227,92
54319,92
54411,92
54503,93
54596,94
54690,90
54780,92
54872,93
54965,91
55056,89
55145,92
55237,92
55329,88
55417,93
55510,88
55598,92
55690,93
55783,91
55874,93
55967,93
56060,95
56155,89
56244,91
56335,93
56428,92
56520,88
56608,92
56700,93
56793,88
56881,92
56973,88
57061,93
57154,92
57246,92
57338,92
57430,93
57523,94
57617,90
57707,92
57799,92
57891,92
57983,89
58072,92
58164,92
58256,88
58344,93
58437,88
58525,94
58619,93
58712,89
58801,93
58894,92
58986,96
59082,91
59173,93
59266,93
59359,88
59447,92
59539,88
59627,93
59720,88
59808,92
59900,89
59989,95
60084,91
60175,94
60269,92
60361,93
60454,91
60545,91
60636,94
60730,92
60822,89
60911,92
61003,88
61091,94
61185,87
61272,95
61367,85
61452,94
61546,92
61638,94
